T¡tulo;Descripci¢n;Regal¡a;Precio;Ahora;Marca;Tienda;3;Fecha Inicio;Fecha Final;C¢digo;Imagen
COMBO MOTOCICLETA TT250;0561010165/6/7 MOTOCICLETA AKT TT250 / 0561030014 LENTE MOTOCICLISTA LS2 YH-90 / 0565030115 CASCO P/ MOTO NOLAN N53 / 0561030009 JACKET LS2 LAGUNA / 0561030012 CAPA MOTOCICLISTA LS2 LS2;;2260700;2034600;VARIOS;1;3;12/03/2016;28/03/2016;561010165;0561010165.JPG
COMPUTADORA PORTATIL;1001000966 COMPUTADORA PORTATIL HP 11-P101LA;;255000;235000;HP    ;1;4;12/03/2016;28/03/2016;1001000966;1001000966.JPG
COMPUTADORA PORTATIL;1001001036 COMPUTADORA PORTATIL DELL 14-3442 CORE I5;;369900;339900;DELL;1;5;12/03/2016;28/03/2016;1001001036;1001001036.JPG
COMPUTADORA PORTATIL;1001001077 COMPUTADORA PORTATIL DELL INS 14-3458;;;299900;DELL;1;6;12/03/2016;28/03/2016;1001001077;1001001077.JPG
COMPUTADORA PORTATIL;1001001113 COMPUTADORA PORTATIL ACER ES1-431-C8D2-ES;;;179900;ACER  ;1;7;12/03/2016;28/03/2016;1001001113;1001001113.JPG
COMPUTADORA PORTATIL;1001001123 COMPUTADORA PORTATIL ACER ES1-311;;;159990;ACER  ;1;3;12/03/2016;28/03/2016;1001001123;1001001123.JPG
COMPUTADORA PORTATIL;1001001125 COMPUTADORA PORTATIL DELL INSPIRON 15-3558;Gratis tablet Alcatel;;319900;DELL;1;4;12/03/2016;28/03/2016;1001001125;1001001125.JPG
COMPUTADORA PORTATIL;1001001126 COMPUTADORA PORTATIL DELL INSPIRON 14-5458;Gratis celular Verykool;;399900;DELL;1;5;12/03/2016;28/03/2016;1001001126;1001001126.JPG
COMPUTADORA PORTATIL;1001001128 COMPUTADORA PORTATIL DELL INSPIRON 15-5559;;;603990;DELL;1;6;12/03/2016;28/03/2016;1001001128;1001001128.JPG
TABLET              ;1001260110 TABLET QUO QD3GME-710-GD;;;49900;QUO   ;1;7;12/03/2016;28/03/2016;1001260110;1001260110.JPG
TABLET             ;1001260190 TABLET BLU G7;;;59000;BLU;1;8;12/03/2016;28/03/2016;1001260190;1001260190.JPG
TABLET              ;1001260191 TABLET ACER B1-770;;;59900;ACER  ;1;3;12/03/2016;28/03/2016;1001260191;1001260191.JPG
TABLET              ;"1001260226 TABLET HUAWEI T1-702U-SLV 7""";;;79400;HUAWEI;1;4;12/03/2016;28/03/2016;1001260226;1001260226.JPG
TABLET ;1001260229 TABLET ULTRAÿ DIGITAL UD74004A;2 X 1;;45900;ULTRAÿ DIGITAL;1;3;12/03/2016;28/03/2016;1001260229;1001260229.JPG
IMPRESORA MULTIFUNCIONAL;1011040111 IMPRESORA MULTIFUNCIONAL EPSON XP-231;;33900;29900;EPSON ;1;4;12/03/2016;28/03/2016;1011040111;1011040111.JPG
HABITACIàN DOBLE;1104010119 HABITACIàN DOBLE RIU GUANACASTE;;;64850;RIU;1;5;12/03/2016;28/03/2016;1104010119;1104010119.JPG
HABITACIàN DOBLE O TRIPLE;1104010244 HABITACIàN DOBLE O TRIPLE BEST WESTERN JACà BEACJH;;;51500;BEST WESTERN;1;3;12/03/2016;28/03/2016;1104010244;1104010244.JPG
BICICLETA M26;1501050251 BICICLETA M26 BIDECA MTB26 INCL;;73640;66280;BIDECA;1;4;12/03/2016;28/03/2016;1501050251;1501050251.JPG
BICICLETA M29;1501080012 BICICLETA M29 SUPER MIRAGE;;223230;200900;SUPER;1;5;12/03/2016;28/03/2016;1501080012;1501080012.JPG
BICICLETA M27.5;1501090005 BICICLETA M27.5 SUPER MAVERICK;;270230;243200;SUPER;1;6;12/03/2016;28/03/2016;1501090005;1501090005.JPG
BICICLETA SPINNING;1515030033 BICICLETA SPINNING FORZA YK-BKP0100;;125700;115700;FORZA;1;7;12/03/2016;28/03/2016;1515030033;1515030033.JPG
CAMINADORA;1516090015 CAMINADORA FORZA YK-ET1401A;;330000;299900;FORZA;1;8;12/03/2016;28/03/2016;1516090015;1516090015.JPG
MAQUINA ELIPTICA;1516120038 MAQUINA ELIPTICA FORZA YK-BA433E;;106100;95500;FORZA;1;3;12/03/2016;28/03/2016;1516120038;1516120038.JPG
MINI GINMANSIO;1517010015 MINI GINMANSIO FORZA YK-1505-2;;289890;269890;FORZA;1;4;12/03/2016;28/03/2016;1517010015;1517010015.JPG
COMBO LICUADORA + JUEGOS DE OLLAS;2003010007 LICUADORA SANKEY BL-779G / 2202050017 JUEGO OLLAS SANKEY W757;;32600;27325;VARIOS;1;3;12/03/2016;28/03/2016;2003010007;2003010007.JPG
COMBO COFFEEMAKER + HIORNO TOSTADOR;2010020080 COFFE MAKER 8 TAZAS SUPERMATIC CM4281 / 2012040017 HORNO TOST. 9 LITROS SUPERMATIC TO9431;;;17655;VARIOS;1;4;12/03/2016;28/03/2016;2010020080;2010020080.JPG
VENTILADOR PIE 16;2030150128 VENTILADOR PIE 16 MASTERTECH 15503;Gratis Licuadora 2003010007;15950;14950;MASTERTECH;1;5;12/03/2016;28/03/2016;2030150128;2030150128.JPG
MAQUINA DE COSER;2036010094 MAQUINA DE COSER JANOME 311A-12BH;;65590;59030;JANOME;1;6;12/03/2016;28/03/2016;2036010094;2036010094.JPG
MAQUINA DE COSERÿ OVERLOCK;2036020029 MAQUINA DE COSERÿ OVERLOCK BROTHER 3034D;;166535;149880;BROTHER;1;7;12/03/2016;28/03/2016;2036020029;2036020029.JPG
COMBO 4 HIELERAS;2210010097 COMBO 4 HIELERAS PINNAC TPX2061RD;;;75560;PINNAC;1;3;12/03/2016;28/03/2016;2210010097;2210010097.JPG
JUEGO DE SALA;4001010988 JUEGO DE SALA EURO MINICONFOR;;359000;330000;EURO;1;4;12/03/2016;28/03/2016;4001010988;4001010988.JPG
JUEGO DE SALA;4001060015 JUEGO DE SALA GLOVAES ESMERALDA;;300000;267000;GLOVAES;1;5;12/03/2016;28/03/2016;4001060015;4001060015.JPG
JUEGO DE SALA;4002020011 JUEGO DE SALA MUCARU MINI DUBAI;;320000;281900;MUCARU;1;6;12/03/2016;28/03/2016;4002020011;4002020011.JPG
JUEGO COMEDOR 4/S;4101020023 JUEGO COMEDOR 4/S ALFARO TABACO;;135000;115900;ALFARO;1;7;12/03/2016;28/03/2016;4101020023;4101020023.JPG
JUEGO DE COMEDOR 4S;4101070015 JUEGO DE COMEDOR 4S RUSDAS COLONIAL;;256800;222000;RUSDAS;1;8;12/03/2016;28/03/2016;4101070015;4101070015.JPG
MUEBLE MICROONDAS;4108030065 MUEBLE MICROONDAS MUCORO PANERO;;280000;245000;MUCORO;1;3;12/03/2016;28/03/2016;4108030065;4108030065.JPG
CAMA MATRIM. STAND;4201010450 CAMA MATRIM. STAND TALYSA ARPA;;163200;141200;TALYSA;1;4;12/03/2016;28/03/2016;4201010450;4201010450.JPG
JUEGO DE TERRAZA;4405010069 JUEGO DE TERRAZA BORBON MECEDORA;;184670;157000;BORBON;1;3;12/03/2016;28/03/2016;4405010069;4405010069.JPG
COLCHON MATRIMONIAL;4501010388 COLCHON MATRIMONIAL JIRON ORTOP.I;;110250;100000;JIRON;1;4;12/03/2016;28/03/2016;4501010388;4501010388.JPG
COLCHON MATRIMONIAL;4501010394 COLCHON MATRIMONIAL LUXOR DORMILON;;69000;60000;LUXOR;1;5;12/03/2016;28/03/2016;4501010394;4501010394.JPG
COLCHON MATRIMONIAL;4501010934 COLCHON MATRIMONIAL LUXOR AMANECER;;89820;83000;LUXOR;1;3;12/03/2016;28/03/2016;4501010934;4501010934.JPG
COLCHON INDIVIDUAL;4501030813 COLCHON INDIVIDUAL JIRON RESTONIC;;58920;53500;JIRON;1;4;12/03/2016;28/03/2016;4501030813;4501030813.JPG
TELEFONO CELULAR 3G;5001060121 TELEFONO CELULAR 3G BLU DASH M;;;54900;BLU;1;5;12/03/2016;28/03/2016;5001060121;5001060121.JPG
TELEFONO CELULAR   ;5001060315 TELEFONO CELULAR BLU DASH JR;2 X 1;;49900;BLU   ;1;6;12/03/2016;28/03/2016;5001060315;5001060315.JPG
TELEFONO CELULAR 3G;5001060368 TELEFONO CELULAR 3G YEZZ A5E;2 X 1;;79900;YEZZ  ;1;7;12/03/2016;28/03/2016;5001060368;5001060368.JPG
TELEFONO CELULAR 3G;5001060375 TELEFONO CELULAR 3G ALCATEL POP C1;;;32900;ALCATEL;1;8;12/03/2016;28/03/2016;5001060375;5001060375.JPG
TELEFONO CELULAR 3G;5001060410 TELEFONO CELULAR 3G BLU STUDIO ENERGY;;;119900;BLU;1;3;12/03/2016;28/03/2016;5001060410;5001060410.JPG
TELEFONO CELULAR 3G;5001060432 TELEFONO CELULAR 3G HUAWEI G PLAY MINI;;;152400;HUAWEI;1;4;12/03/2016;28/03/2016;5001060432;5001060432.JPG
TELEFONO CELULAR 3G;5001060438 TELEFONO CELULAR 3G BLU ADVANCE 4.0 L;2 X 1;;69900;BLU   ;1;3;12/03/2016;28/03/2016;5001060438;5001060438.JPG
TELEFONO CELULAR 3G;5001060440 TELEFONO CELULAR 3G BLU STUDIO 5+5;;;59000;BLU;1;4;12/03/2016;28/03/2016;5001060440;5001060440.JPG
TELEFONO CELULAR 3G;5001060444 TELEFONO CELULAR 3G SAMSUNG J5;;149900;144900;SAMSUNG;1;5;12/03/2016;28/03/2016;5001060444;5001060444.JPG
TELEFONO CELULAR 4G;5001110014 TELEFONO CELULAR 4G SAMSUNG SM-G928G;;499900;474900;SAMSUNG;1;6;12/03/2016;28/03/2016;5001110014;5001110014.JPG
REFRIGERADORA 9 PIES;6001040298 REFRIGERADORA 9 PIES FRIGIDAIRE FRT093AG;Gratis microondas 6090010214;;299000;FRIGIDAIRE;1;7;12/03/2016;28/03/2016;6001040298;6001040298.JPG
COMBO REFRIGERADORA + LAVADORA;6001040304 REFRIG. 9P255L FRIGIDAIRE FRT093DBLW / 6080110031 LAVADORA SEMI-AUT14K MASTERTECH MTA140P120;;368900;329000;VARIOS;1;3;12/03/2016;28/03/2016;6001040304;6001040304.JPG
REFRIGERADORA 19 PIES;6001140014 REFRIGERADORA 19 PIES MABE RMS1951XMX;;499900;399900;MABE;1;4;12/03/2016;28/03/2016;6001140014;6001140014.JPG
REFIGERADORA 23 PIES;6001170048 REFIGERADORA 23 PIES ELECTROLUX SS77X;Gratis microondas 6090010207;729000;679000;ELECTROLUX;1;5;12/03/2016;28/03/2016;6001170048;6001170048.JPG
COMBO REFRIGERADORA + PANTALLA;6001340005 REFRIGERADOR 26 PIES FRIGIDAIRE FFHS2622MS / 9005060058 PANTALLA 32 LED TCL L32D2700A;;878900;779000;VARIOS;1;6;12/03/2016;28/03/2016;6001340005;6001340005.JPG
"COCINA ELECT 30"" SILVER";"6040080053 COCINA ELECT 30"" SILVER FRIGIDAIRE FFEF3018LM";;378000;348000;FRIGIDAIRE;1;7;12/03/2016;28/03/2016;6040080053;6040080053.JPG
COCINA VITROCERAMICA;6040080063 COCINA VITROCERAMICA WHIRLPOOL WFE320M0ES;Gratis microondas 6090010196;;415000;WHIRLPOOL;1;8;12/03/2016;28/03/2016;6040080063;6040080063.JPG
"COCINA  GAS 30"" ACERO INOX";"6050070011 COCINA GAS 30"" ACERO INOX MABE XO7665I0";;269000;239000;MABE;1;3;12/03/2016;28/03/2016;6050070011;6050070011.JPG
PLANTILLA ELECTRICA INDUCCIàN;6070040010 PLANTILLA ELECTRICA INDUCCIàN NAVAR BT-1500D1;;;47900;NAVAR;1;4;12/03/2016;28/03/2016;6070040010;6070040010.JPG
LAVADORA SEMI-AUT12K;6080090041 LAVADORA SEMI-AUT12K MASTERTECH MTA120P110;;109000;89000;MASTERTECH;1;3;12/03/2016;28/03/2016;6080090041;6080090041.JPG
LAVADORA AUTOM 16K;6080130033 LAVADORA AUTOM 16K WHIRLPOOL 7MWTW1601BQ;Gratis microondas 6090010189;;310000;WHIRLPOOL;1;4;12/03/2016;28/03/2016;6080130033;6080130033.JPG
LAVADORA SEMI-AUT17K;6080210018 LAVADORA SEMI-AUT17K FRIGIDAIRE FWTE17M3FSNW;;219000;204000;FRIGIDAIRE;1;5;12/03/2016;28/03/2016;6080210018;6080210018.JPG
LAVADORA AUTOM 18K NEGRA;6080210021 LAVADORA AUTOM 18K NEGRA WHIRLPOOL 8MWTW1815CG;Producto exclusivo;369000;319000;WHIRLPOOL;1;3;12/03/2016;28/03/2016;6080210021;6080210021.JPG
AIR.ACONDIC.SPLIT;6094020004 AIR.ACONDIC.SPLIT MASTERTECH TAC12CSCJ2;;198000;168000;MASTERTECH;1;4;12/03/2016;28/03/2016;6094020004;6094020004.JPG
CONGELADOR 8 PIES;6097040001 CONGELADOR 8 PIES MASTERTECH HS258C;;160000;130000;MASTERTECH;1;5;12/03/2016;28/03/2016;6097040001;6097040001.JPG
ENFRIADOR 8 PIES;6098110001 ENFRIADOR 8 PIES SANKEY RFD-862;;271000;245000;SANKEY;1;6;12/03/2016;28/03/2016;6098110001;6098110001.JPG
PANTALLA 40 LED;9005010046 PANTALLA 40 LED SAMSUN UN40JH5005FX;;299900;249900;SAMSUN;1;7;12/03/2016;28/03/2016;9005010046;9005010046.JPG
PANTALLA 40 LED;9005010049 PANTALLA 40 LED SANKEY CLED-40SME3;;;194900;SANKEY;1;8;12/03/2016;28/03/2016;9005010049;9005010049.JPG
PANTALLA 50 LED;9005020016 PANTALLA 50 LED PANASO TC-50CS600L;;589900;559900;PANASO;1;3;12/03/2016;28/03/2016;9005020016;9005020016.JPG
PANTALLA 55 LED;9005040028 PANTALLA 55 LED SAMSUN UN55J5300AF;;699000;649000;SAMSUN;1;4;12/03/2016;28/03/2016;9005040028;9005040028.JPG
PANTALLA 32 LED;9005060057 PANTALLA 32 LED SAMSUNG UN32JH4005FX;;199900;159900;SAMSUNG;1;3;12/03/2016;28/03/2016;9005060057;9005060057.JPG
PANTALLA 32 LED;9005060065 PANTALLA 32 LED SANKEY CLED-32SME3;;;139900;SANKEY;1;4;12/03/2016;28/03/2016;9005060065;9005060065.JPG
PANTALLA 24 LED;9005100014 PANTALLA 24 LED TCL L24D2700;Super Precio;;99900;TCL;1;5;12/03/2016;28/03/2016;9005100014;9005100014.JPG
CAMARA DE ACCION;9034010050 CAMARA DE ACCION ULTRA DIGITAL UD-SC155;Gratis Selfie Stick;;59000;ULTRA DIGITAL;1;6;12/03/2016;28/03/2016;9034010050;9034010050.JPG
CONSOLA XBOX 360;9035010163 CONSOLA XBOX 360 MICROSSOFT MINECRAFT;;254900;184900;MICROSSOFT;1;7;12/03/2016;28/03/2016;9035010163;9035010163.JPG
CONSOLA PS4;9035010282 CONSOLA PS4 SONY UNCHARTED 4;;399900;349900;SONY;1;3;12/03/2016;28/03/2016;9035010282;9035010282.JPG
MINICOMPONENTE 1CD;9201030075 MINICOMPONENTE 1CD SONY MHC-V7D;;399900;349900;SONY;1;4;12/03/2016;28/03/2016;9201030075;9201030075.JPG
MINICOMPONENTE;9201030080 MINICOMPONENTE PANASO SC-AKX600PNK;;282900;267900;PANASO;1;5;12/03/2016;28/03/2016;9201030080;9201030080.JPG
MINICOMPONENTE;9201030081 MINICOMPONENTE PANASO SC-AKX800PN-K;;366900;349900;PANASO;1;6;12/03/2016;28/03/2016;9201030081;9201030081.JPG
BARRA DE SONIDO;9203010261 BARRA DE SONIDO SONY HT-CT380;;;169000;SONY;1;7;12/03/2016;28/03/2016;9203010261;9203010261.JPG
