Título;Descripción;Regalía;Precio;Ahora;Marca;Tienda;Linea;Fecha Inicio;Fecha Final;Código;Imagen
TECLADO;1007010060 600;;;10900;MICROSOFT;1;1;05/02/2016;06/03/2016;1007010060;1007010060.jpg
MOUSE;1008010133 OPTICO 500;;;7900;MICROSOFT;1;1;05/02/2016;07/03/2016;1008010133;1008010133.jpg
PARLANTE;1010020001 X100;;;15900;LOGITECH;1;1;05/02/2016;08/03/2016;1010020001;1010020001.jpg
IMPRESORA MULTIFUNCIONAL;1011040111 XP-231;;33900;29900;EPSON;1;1;05/02/2016;09/03/2016;1011040111;1011040111.jpg
UPS;1013010082 AS-R700;;;26000;ASIUM;1;1;05/02/2016;10/03/2016;1013010082;1013010082.jpg
MEMORIA MICRO SD 16GB ;1018010240 TS16GUSDHC;;;4500;TRANSCEND;1;1;05/02/2016;11/03/2016;1018010240;1018010240.jpg
DISCO DURO EXTERNO;1021010156 TS1TSJ25M3;;49990;39990;TRANSCEND;1;1;05/02/2016;12/03/2016;1021010156;1021010156.jpg
KIT PARLANTE + AUDIFONO;1022010029 GO + YURBUDS;;;29120;JBL;1;1;05/02/2016;13/03/2016;1022010029;1022010029.jpg
ROUTER;1022170043 STEALTH 150;;;12900;NEXXT;1;1;05/02/2016;14/03/2016;1022170043;1022170043.jpg
PAQ.BOLETO AEREO;1104010196 BOLETO;;;749000;SWK;1;14;05/02/2016;15/03/2016;1104010196;1104010196.jpg
BICICLETA M26;1501050276 PLAYERA MUJER;;75758;68180;BIDECA;1;13;05/02/2016;16/03/2016;1501050276;1501050276.jpg
BICICLETA M29;1501080012 MIRAGE;Combo Hielera Coleman 48 QTS;;223230;SUPER PRO;1;13;05/02/2016;17/03/2016;1501080012;1501080012.jpg
BICICLETA M27.5;1501090005 MAVERICK;Combo Hielera Coleman 54 QTS;;270860;SUPER PRO;1;13;05/02/2016;18/03/2016;1501090005;1501090005.jpg
BICICLETA SPINNING;1515030033 YK-BKP0100;;125900;113300;FORZA;1;13;05/02/2016;19/03/2016;1515030033;1515030033.jpg
CAMINADORA ELECTRICA;1516090017 5EE;;195210;175690;ATHLETIC;1;13;05/02/2016;20/03/2016;1516090017;1516090017.jpg
MAQUINA ELIPTICA;1516120038 YK-BA433E;;106100;89990;FORZA;1;13;05/02/2016;21/03/2016;1516120038;1516120038.jpg
MULTIGIMNASIO;1517010016 M500;;163990;147590;TECNOFITNESS;1;13;05/02/2016;22/03/2016;1517010016;1517010016.jpg
CAFETERA ELECTRICA;2010010063 KE-1008U;;;3970;SUPERMATIC;1;2;05/02/2016;23/03/2016;2010010063;2010010063.jpg
SANDWICHERA PANINI;2011020046 XB3348;;;19990;SUPERMATIC;1;2;05/02/2016;24/03/2016;2011020046;2011020046.jpg
HORNO TOST. 9 LITROS;2012040017 TO9431;;;12310;SUPERMATIC;1;2;05/02/2016;25/03/2016;2012040017;2012040017.jpg
SARTEN DE PLANCHA;2013040008 SA-1071;;;17100;SANKEY;1;2;05/02/2016;26/03/2016;2013040008;2013040008.jpg
"VENTILADOR PIE 16""";2030150139 FN-1710;;;23040;SANKEY;1;2;05/02/2016;27/03/2016;2030150139;2030150139.jpg
"VENTILADOR PARED 16""";2030200050 FN-1810;;;22290;SANKEY;1;2;05/02/2016;28/03/2016;2030200050;2030200050.jpg
MAQUINA DE COSER;2036010081 LX3125E;;65300;58770;BROTHER;1;2;05/02/2016;29/03/2016;2036010081;2036010081.jpg
COMBO 4 HIELERAS;2210010097 TPX2061RD;Gratis Licuadora Sankey;;76560;PINNACLE;1;15;05/02/2016;30/03/2016;2210010097;2210010097.jpg
ESCRITORIO P/LAPTOP;4302050089 CT-683;;45100;38000;KACHE;1;6;05/02/2016;31/03/2016;4302050089;4302050089.jpg
SILLA S/BRAZO;4303050011 OCIL02A1A;;32860;27000;KACHE;1;6;05/02/2016;01/04/2016;4303050011;4303050011.jpg
SILLA PARA OFICINA;4303050072 MC058;;55200;45100;KACHE;1;6;05/02/2016;02/04/2016;4303050072;4303050072.jpg
ESCRITORIO P/COMPUTO;4304020005 CT-3373;;109446;93000;KACHE;1;6;05/02/2016;03/04/2016;4304020005;4304020005.jpg
ESCRITORIO C/BIBLIOT;4304030023 COMBO;;228990;198500;MERKA;1;6;05/02/2016;04/04/2016;4304030023;4304030023.jpg
TELEFONO CELULAR 3G;5001060121 DASH M;;;54900;BLU;1;1;05/02/2016;05/04/2016;5001060121;5001060121.jpg
TELEFONO CELULAR;5001060141 Y6;Gratis parlante JBL;;115400;HUAWEI;1;1;05/02/2016;06/04/2016;5001060141;5001060141.jpg
TELEFONO CELULAR;5001060315 DASH JR;2x1, Gratis salveque;;49900;BLU;1;1;05/02/2016;07/04/2016;5001060315;5001060315.jpg
TELEFONO CELULAR 3G;5001060351 A3.5 EI;;;29500;YEZZ;1;1;05/02/2016;08/04/2016;5001060351;5001060351.jpg
TELEFONO CELULAR 3G;5001060352 A4 EI;;;39990;YEZZ;1;1;05/02/2016;09/04/2016;5001060352;5001060352.jpg
TELEFONO CELULAR 3G;5001060368 A5E;2x1;;79900;YEZZ;1;1;05/02/2016;10/04/2016;5001060368;5001060368.jpg
TELEFONO CELULAR 3G;5001060397 SM-A500;;184900;159900;SAMSUNG;1;1;05/02/2016;11/04/2016;5001060397;5001060397.jpg
TELEFONO CELULAR 3G;5001060427 A5T;;;85500;YEZZ;1;1;05/02/2016;12/04/2016;5001060427;5001060427.jpg
TELEFONO CELULAR 3G;5001060432 G PLAY MINI;;;152400;HUAWEI;1;1;05/02/2016;13/04/2016;5001060432;5001060432.jpg
TELEFONO CELULAR 3G;5001060438 ADVANCE 4.0 L;2x1;;69900;BLU;1;1;05/02/2016;14/04/2016;5001060438;5001060438.jpg
TELEFONO CELULAR 3G;5001060440 STUDIO 5+5;;;59000;BLU;1;1;05/02/2016;15/04/2016;5001060440;5001060440.jpg
REFRIGERADOR 11 PIES BLANCA;6001060014 FRT113AW;Gratis microondas 6090020030;325000;305000;FRIGIDAIRE;1;3;05/02/2016;16/04/2016;6001060014;6001060014.jpg
REFRIGERADORA 11 PIES ACERO INOX;6001060026 RTA1130X0;Gratis ventildador 2030150135;319450;289000;ATLAS;1;3;05/02/2016;17/04/2016;6001060026;6001060026.jpg
COMBO LINEA BLANCA 1;6001140014 REFRIGERADORA 19 PIES MABE RMS1951XMX - 1501050251 BICICLETA M26 BIDECA MTB26 INCL;;573540;430000;VARIOS;1;3;05/02/2016;18/04/2016;6001140014;6001140014.jpg
REFRIGERADORA 26PIES;6001190074 GSMT6AEDFGP;Gratis microondas 6090010130;769000;719000;GENERAL GE;1;3;05/02/2016;19/04/2016;6001190074;6001190074.jpg
REFRIGERADORA 26PIES SILVER;6001190080 GSMT6AEFFSP;;710000;610000;GENERAL GE;1;3;05/02/2016;20/04/2016;6001190080;6001190080.jpg
COMBO LINEA BLANCA 2;"6040090056 COCINA ELECT 30"" BLANCA ATLAS EAV3087BBD - 1516120038 MAQUINA ELIPTICA FORZA YK-BA433E";;;327000;VARIOS;1;3;05/02/2016;21/04/2016;6040090056;6040090056.jpg
COMBO LINEA BLANCA 3;"6050070009 COCINA A GAS 32"" SILVER INDURAMA OPORTO - 1501010075 BICICLETA M12 SUPER PRO RACCON HOM";;;213000;VARIOS;1;3;05/02/2016;22/04/2016;6050070009;6050070009.jpg
LAVADORA AUTOM 16 KILOS;6080130031 LMA16200PBB0;Gratis ventildador 2030150135;269000;209000;MABE;1;3;05/02/2016;23/04/2016;6080130031;6080130031.jpg
COMBO DE LAVADORA/SECADORA;6080210020 COMBO #7;;599000;439000;GENERAL GE;1;3;05/02/2016;24/04/2016;6080210020;6080210020.jpg
SECAD. ELECT. 3 CICL 22 KILOS;6085010033 7MWED5600B;;307000;257000;WHIRLPOOL;1;3;05/02/2016;25/04/2016;6085010033;6085010033.jpg
AIR. ACONDIC.SPLIT;6094030005 TAC18CSCJ2;;255000;216750;MASTERTECH;1;3;05/02/2016;26/04/2016;6094030005;6094030005.jpg
PANTALLA 39 LED;9005010021 CLED-40A03;;204900;164900;SANKEY;1;5;05/02/2016;27/04/2016;9005010021;9005010021.jpg
PANTALLA 40 LED;9005010046 UN40JH5005;;299900;289900;SAMSUNG;1;5;05/02/2016;28/04/2016;9005010046;9005010046.jpg
PANTALLA 50 LED;9005020016 TC-50CS600L;;589900;559900;PANASONIC;1;5;05/02/2016;29/04/2016;9005020016;9005020016.jpg
PANTALLA 50 LED;9005020021 UN50J5300AFX;;599900;559900;SAMSUNG;1;5;05/02/2016;30/04/2016;9005020021;9005020021.jpg
PANTALLA 55 LED;9005040028 UN55J5300AF;;699000;619000;SAMSUNG;1;5;05/02/2016;01/05/2016;9005040028;9005040028.jpg
PANTALLA 24 LED;9005100014 L24D2700;;99900;99900;TCL;1;5;05/02/2016;02/05/2016;9005100014;9005100014.jpg
CAMARA FOTOGRAF.16MP;9033220094 SX-400IS;;225000;210000;CANON;1;5;05/02/2016;03/05/2016;9033220094;9033220094.jpg
CAMARA DE ACCION;9034010050 UD-SC155;Gratis Selfie Stick;;59000;ULTRA;1;5;05/02/2016;04/05/2016;9034010050;9034010050.jpg
CONSOLA XBOX 360;9035010163 MINECRAFT;;254900;184900;MICROSOFT;1;5;05/02/2016;05/05/2016;9035010163;9035010163.jpg
CONSOLA XBOX 360;9035010271 500GB AZUL/NEGRA;;275000;209900;MICROSOFT;1;5;05/02/2016;06/05/2016;9035010271;9035010271.jpg
CONSOLA PS4;9035010282 UNCHARTED 4;;399900;349900;SONY;1;5;05/02/2016;07/05/2016;9035010282;9035010282.jpg
MINICOMPONENTE;9201010150 SC-AKX200PNK;;119900;119900;PANASONIC;1;5;05/02/2016;08/05/2016;9201010150;9201010150.jpg
MINICOMPONENTE 1CD;9201030075 MHC-V7D;;399900;399900;SONY;1;5;05/02/2016;09/05/2016;9201030075;9201030075.jpg
MINICOMPONENTE;9201030080 SC-AKX600PNK;;282900;269900;PANASONIC;1;5;05/02/2016;10/05/2016;9201030080;9201030080.jpg
RADIOGRABADORA;9206010049 ZS-PS50;;69000;64900;SONY;1;5;05/02/2016;11/05/2016;9206010049;9206010049.jpg
COMBO UNIVERSITARIO;1001001005 COMPUTADORA PORTATIL HP 14-V005LA - 5001060438 TELEFONO CELULAR 3G BLU ADVANCE 4.0 L - 1011010069 IMPRESORA INYECCION CANON IP2810 - 1001260233 TABLET ERICK-SON TAB-5127-8G;Obseguio Office 365;409900;399900;VARIOS;1;1;05/02/2016;12/05/2016;1001001005U;1001001005U.jpg
COMBO COLEGIAL 2;1001001113 COMPUTADORA PORTATIL ACER ES1-431-C8D2-ES - 4302020016 ESCRITORIO P/ COMPUTADORA SAUDER 1331 - 1011010069 IMPRESORA INYECCION CANON IP2810 - 1001260233 TABLET ERICK-SON TAB-5127-8G;Obseguio Office 365;247900;244900;VARIOS;1;1;05/02/2016;13/05/2016;1001001113C2;1001001113C2.jpg
COMBO ESCOLAR;1001001113 COMPUTADORA PORTATIL ACER ES1-431-C8D2-ES - 1001260191 TABLET ACER B1-770 - 5001090007 RELOJ INTELIGENTE ACER LIQUID LEAP   ;Obseguio Office 365;309900;264900;VARIOS;1;1;05/02/2016;14/05/2016;1001001113E;1001001113E.jpg
COMBO COLEGIAL 1;1001001122 COMPUTADORA PORTATIL TOSHIBA L45D-C4203W, 4302020016 ESCRITORIO P/ COMPUTADORA SAUDER 1331,1011010069 IMPRESORA INYECCION CANON IP2810         ;Obseguio Office 365;302900;299900;VARIOS;1;1;05/02/2016;15/05/2016;1001001122C1;1001001122C1.jpg
