T°tulo;;Descripci¢n;Precio;Ahora;Marca;Tienda;Linea;Fecha Inicio;Fecha Final;Codigo;Imagen
TELEFONO CELULAR   ;;TELEFONO CELULAR BLU DASH JR;;49900;PRUEBA;1;12;24/04/2016;25/04/2016;5001060315;5001060315.JPG
TELEFONO CELULAR 3G;;TELEFONO CELULAR 3G YEZZ A5E;;79900;PRUEBA;1;12;24/04/2016;25/04/2016;5001060368;5001060368.JPG
TELEFONO CELULAR 3G;;TELEFONO CELULAR 3G ALCATEL POP C1;;32900;PRUEBA;1;12;24/04/2016;25/04/2016;5001060375;5001060375.JPG
TELEFONO CELULAR 3G;;TELEFONO CELULAR 3G BLU STUDIO ENERGY;;119900;PRUEBA;1;12;24/04/2016;25/04/2016;5001060410;5001060410.JPG
TELEFONO CELULAR 3G;;TELEFONO CELULAR 3G HUAWEI G PLAY MINI;;152400;PRUEBA;1;12;24/04/2016;25/04/2016;5001060432;5001060432.JPG
TELEFONO CELULAR 3G;;TELEFONO CELULAR 3G BLU ADVANCE 4.0 L;;69900;PRUEBA;1;12;24/04/2016;25/04/2016;5001060438;5001060438.JPG
TELEFONO CELULAR 3G;;TELEFONO CELULAR 3G BLU STUDIO 5+5;;59000;PRUEBA;1;12;24/04/2016;25/04/2016;5001060440;5001060440.JPG
TELEFONO CELULAR 3G;;TELEFONO CELULAR 3G SAMSUNG J5;149900;144900;PRUEBA;1;12;24/04/2016;25/04/2016;5001060444;5001060444.JPG
TELEFONO CELULAR 4G;;TELEFONO CELULAR 4G SAMSUNG SM-G928G;499900;474900;PRUEBA;1;12;24/04/2016;25/04/2016;5001110014;5001110014.JPG
REFRIGERADORA 9 PIES;;REFRIGERADORA 9 PIES FRIGIDAIRE FRT093AG;;299000;PRUEBA;1;2;24/04/2016;25/04/2016;6001040298;6001040298.JPG
COMBO REFRIGERADORA + LAVADORA;;REFRIG. 9P255L FRIGIDAIRE FRT093DBLW / 6080110031 LAVADORA SEMI-AUT14K MASTERTECH MTA140P120;368900;329000;PRUEBA;1;2;24/04/2016;25/04/2016;6001040304;6001040304.JPG
REFRIGERADORA 19 PIES;;REFRIGERADORA 19 PIES MABE RMS1951XMX;499900;399900;PRUEBA;1;2;24/04/2016;25/04/2016;6001140014;6001140014.JPG
REFIGERADORA 23 PIES;;REFIGERADORA 23 PIES ELECTROLUX SS77X;729000;679000;PRUEBA;1;2;24/04/2016;25/04/2016;6001170048;6001170048.JPG
COMBO REFRIGERADORA + PANTALLA;;REFRIGERADOR 26 PIES FRIGIDAIRE FFHS2622MS / 9005060058 PANTALLA 32 LED TCL L32D2700A;878900;779000;PRUEBA;1;2;24/04/2016;25/04/2016;6001340005;6001340005.JPG
"COCINA ELECT 30"" SILVER";;"COCINA ELECT 30"" SILVER FRIGIDAIRE FFEF3018";378000;348000;PRUEBA;1;2;24/04/2016;25/04/2016;6040080053;6040080053.JPG
COCINA VITROCERAMICA;;COCINA VITROCERAMICA WHIRLPOOL WFE320M0ES;;415000;PRUEBA;1;2;24/04/2016;25/04/2016;6040080063;6040080063.JPG
"COCINA  GAS 30"" ACERO INOX";;"COCINA GAS 30"" ACERO INOX MABE XO7665I0";269000;239000;PRUEBA;1;2;24/04/2016;25/04/2016;6050070011;6050070011.JPG
PLANTILLA ELECTRICA INDUCCI‡N;;PLANTILLA ELECTRICA INDUCCI‡N NAVAR BT-1500;;47900;PRUEBA;1;2;24/04/2016;25/04/2016;6070040010;6070040010.JPG
LAVADORA SEMI-AUT12K;;LAVADORA SEMI-AUT12K MASTERTECH MTA120P110;109000;89000;PRUEBA;1;2;24/04/2016;25/04/2016;6080090041;6080090041.JPG
LAVADORA AUTOM 16K;;LAVADORA AUTOM 16K WHIRLPOOL 7MWTW1601BQ;;310000;PRUEBA;1;2;24/04/2016;25/04/2016;6080130033;6080130033.JPG
LAVADORA SEMI-AUT17K;;LAVADORA SEMI-AUT17K FRIGIDAIRE FWTE17M3FSN;219000;204000;PRUEBA;1;2;24/04/2016;25/04/2016;6080210018;6080210018.JPG
LAVADORA AUTOM 18K NEGRA;;LAVADORA AUTOM 18K NEGRA WHIRLPOOL 8MWTW181;369000;319000;PRUEBA;1;2;24/04/2016;25/04/2016;6080210021;6080210021.JPG
AIR.ACONDIC.SPLIT;;AIR.ACONDIC.SPLIT MASTERTECH TAC12CSCJ2;198000;168000;PRUEBA;1;2;24/04/2016;25/04/2016;6094020004;6094020004.JPG
CONGELADOR 8 PIES;;CONGELADOR 8 PIES MASTERTECH HS258C;160000;130000;PRUEBA;1;2;24/04/2016;25/04/2016;6097040001;6097040001.JPG
ENFRIADOR 8 PIES;;ENFRIADOR 8 PIES SANKEY RFD-862;271000;245000;PRUEBA;1;2;24/04/2016;25/04/2016;6098110001;6098110001.JPG
PANTALLA 40 LED;;PANTALLA 40 LED SAMSUN UN40JH5005FX;299900;249900;PRUEBA;1;4;24/04/2016;25/04/2016;9005010046;9005010046.JPG
PANTALLA 40 LED;;PANTALLA 40 LED SANKEY CLED-40SME3;;194900;PRUEBA;1;4;24/04/2016;25/04/2016;9005010049;9005010049.JPG
PANTALLA 50 LED;;PANTALLA 50 LED PANASO TC-50CS600L;589900;559900;PRUEBA;1;4;24/04/2016;25/04/2016;9005020016;9005020016.JPG
PANTALLA 55 LED;;PANTALLA 55 LED SAMSUN UN55J5300AF;699000;649000;PRUEBA;1;4;24/04/2016;25/04/2016;9005040028;9005040028.JPG
PANTALLA 32 LED;;PANTALLA 32 LED SAMSUNG UN32JH4005FX;199900;159900;PRUEBA;1;4;24/04/2016;25/04/2016;9005060057;9005060057.JPG
PANTALLA 32 LED;;PANTALLA 32 LED SANKEY CLED-32SME3;;139900;PRUEBA;1;4;24/04/2016;25/04/2016;9005060065;9005060065.JPG
PANTALLA 24 LED;;PANTALLA 24 LED TCL L24D2700;;99900;PRUEBA;1;4;24/04/2016;25/04/2016;9005100014;9005100014.JPG
CAMARA DE ACCION;;CAMARA DE ACCION ULTRA DIGITAL UD-SC155;;59000;PRUEBA;1;12;24/04/2016;25/04/2016;9034010050;9034010050.JPG
CONSOLA XBOX 360;;CONSOLA XBOX 360 MICROSSOFT MINECRAFT;254900;184900;PRUEBA;1;6;24/04/2016;25/04/2016;9035010163;9035010163.JPG
CONSOLA PS4;;CONSOLA PS4 SONY UNCHARTED 4;399900;349900;PRUEBA;1;6;24/04/2016;25/04/2016;9035010282;9035010282.JPG
MINICOMPONENTE 1CD;;MINICOMPONENTE 1CD SONY MHC-V7D;399900;349900;PRUEBA;1;4;24/04/2016;25/04/2016;9201030075;9201030075.JPG
MINICOMPONENTE;;MINICOMPONENTE PANASO SC-AKX600PNK;282900;267900;PRUEBA;1;4;24/04/2016;25/04/2016;9201030080;9201030080.JPG
MINICOMPONENTE;;MINICOMPONENTE PANASO SC-AKX800PN-K;366900;349900;PRUEBA;1;4;24/04/2016;25/04/2016;9201030081;9201030081.JPG
BARRA DE SONIDO;;BARRA DE SONIDO SONY HT-CT380;;169000;PRUEBA;1;4;24/04/2016;25/04/2016;9203010261;9203010261.JPG
